scientificName,latitude,longitude,eventDate,date_year,month,day,individualCount,basisOfRecord,datasetName,vernacularName,country,bathymetry,sst,species_common,species_scientific
Balaenoptera acutorostrata,33.650573,-119.743592,2022-07-09T12:23:17,2022,7,9,1,HumanObservation,Happywhale - Common minke whale in North Pacific Ocean,Common minke whale,,963,15.61,Minke Whale,Balaenoptera acutorostrata
Balaenoptera acutorostrata,33.617426,-118.129786,2000-10-19T12:47:30,2000,10,19,1,HumanObservation,"CalCOFI and NMFS Seabird and Marine Mammal Observation Data, 1987-2006",Common minke whale,,38,17.1,Minke Whale,Balaenoptera acutorostrata
Balaenoptera acutorostrata,33.018667,-119.326833,2010-09-27T11:55:06,2010,9,27,3,HumanObservation,SOCAL Marine Mammal Aerial Monitoring 2010,Common minke whale,,754,15.91,Minke Whale,Balaenoptera acutorostrata
Balaenoptera acutorostrata,36.056167,-121.997167,2018-08-28T11:13:07,2018,8,28,1,HumanObservation,"SWFSC Marine Mammal Survey, CCES 2018, Cruise 1651",Common minke whale,,1314,13.18,Minke Whale,Balaenoptera acutorostrata
Balaenoptera acutorostrata,32.927674,-117.907132,2013-03-28T10:26:11,2013,3,28,2,HumanObservation,SOCAL FZN4 Marine Mammal Aerial Monitoring 2013,Common minke whale,,625,17.63,Minke Whale,Balaenoptera acutorostrata
Balaenoptera acutorostrata,33.232197,-117.738645,2021-05-28T10:05:53,2021,5,28,1,HumanObservation,Happywhale - Common minke whale in North Pacific Ocean,Common minke whale,,778,17.66,Minke Whale,Balaenoptera acutorostrata
Balaenoptera acutorostrata,37.977333,-122.9965,2018-08-19T12:26:49,2018,8,19,1,HumanObservation,"SWFSC Marine Mammal Survey, CCES 2018, Cruise 1651",Common minke whale,,35,11.98,Minke Whale,Balaenoptera acutorostrata
Balaenoptera acutorostrata,48.196703,-122.832642,2024-09-16T14:26:38,2024,9,16,1,HumanObservation,Happywhale - Common minke whale in North Pacific Ocean,Common minke whale,,66,9.57,Minke Whale,Balaenoptera acutorostrata
Balaenoptera acutorostrata,48.283157,-123.081256,2023-07-03T15:04:03,2023,7,3,1,HumanObservation,Happywhale - Common minke whale in North Pacific Ocean,Common minke whale,,89,9.43,Minke Whale,Balaenoptera acutorostrata
Balaenoptera acutorostrata,42.546,-126.2675,2001-09-23T18:17:42,2001,9,23,1,HumanObservation,"SWFSC Marine Mammal Survey, ORCAWALE 2001, Cruise 1617",Common minke whale,,2939,12.88,Minke Whale,Balaenoptera acutorostrata
Balaenoptera acutorostrata,48.148053,-122.938404,2024-09-18T13:22,2024,9,18,1,HumanObservation,Happywhale - Common minke whale in North Pacific Ocean,Common minke whale,,11,9.5,Minke Whale,Balaenoptera acutorostrata
